headline,label
Company announces pill that instantly teaches any language (report 1),FAKE
WHO approves new malaria vaccine for global distribution (report 2),REAL
Scientists develop biodegradable alternative to traditional plastic (report 3),REAL
World’s largest offshore wind farm begins full operation (report 4),REAL
Researchers say they have found a portal to a parallel universe (report 5),FAKE
Ocean turns purple overnight due to mysterious phenomenon (report 6),FAKE
Study shows humans can survive without sleep for 40 days (report 7),FAKE
New study links air pollution to increased heart disease risks (report 8),REAL
UN releases new report on global climate migration trends (report 9),REAL
World’s largest offshore wind farm begins full operation (report 10),REAL
Scientists develop biodegradable alternative to traditional plastic (report 11),REAL
Company announces pill that instantly teaches any language (report 12),FAKE
New study links air pollution to increased heart disease risks (report 13),REAL
Ocean turns purple overnight due to mysterious phenomenon (report 14),FAKE
Archaeologists uncover ancient temple in South America (report 15),REAL
World’s largest offshore wind farm begins full operation (report 16),REAL
City government plans to replace all streetlights with glow-in-the-dark plants (report 17),FAKE
Ocean turns purple overnight due to mysterious phenomenon (report 18),FAKE
Study shows humans can survive without sleep for 40 days (report 19),FAKE
Company announces pill that instantly teaches any language (report 20),FAKE
Archaeologists uncover ancient temple in South America (report 21),REAL
Study shows humans can survive without sleep for 40 days (report 22),FAKE
Time traveler from 2080 reportedly appears in downtown Tokyo (report 23),FAKE
Researchers say they have found a portal to a parallel universe (report 24),FAKE
Company announces pill that instantly teaches any language (report 25),FAKE
Global oil prices rise after unexpected supply disruption (report 26),REAL
Company announces pill that instantly teaches any language (report 27),FAKE
"Major earthquake strikes coastal region, causing widespread damage (report 28)",REAL
Study shows humans can survive without sleep for 40 days (report 29),FAKE
Ocean turns purple overnight due to mysterious phenomenon (report 30),FAKE
WHO approves new malaria vaccine for global distribution (report 31),REAL
Robots gain legal rights in several countries after secret summit (report 32),FAKE
UN releases new report on global climate migration trends (report 33),REAL
UN releases new report on global climate migration trends (report 34),REAL
WHO approves new malaria vaccine for global distribution (report 35),REAL
Ocean turns purple overnight due to mysterious phenomenon (report 36),FAKE
World’s largest offshore wind farm begins full operation (report 37),REAL
International Space Station crew completes emergency repair (report 38),REAL
Company announces pill that instantly teaches any language (report 39),FAKE
UN releases new report on global climate migration trends (report 40),REAL
NASA announces discovery of water ice beneath lunar surface (report 41),REAL
Archaeologists uncover ancient temple in South America (report 42),REAL
UN releases new report on global climate migration trends (report 43),REAL
World leaders agree to build giant shield around Earth to stop solar flares (report 44),FAKE
City government plans to replace all streetlights with glow-in-the-dark plants (report 45),FAKE
New smartphone app claims to let users read minds (report 46),FAKE
Archaeologists uncover ancient temple in South America (report 47),REAL
Study shows humans can survive without sleep for 40 days (report 48),FAKE
New smartphone app claims to let users read minds (report 49),FAKE
Study shows humans can survive without sleep for 40 days (report 50),FAKE
Global oil prices rise after unexpected supply disruption (report 51),REAL
Archaeologists uncover ancient temple in South America (report 52),REAL
Global oil prices rise after unexpected supply disruption (report 53),REAL
City government plans to replace all streetlights with glow-in-the-dark plants (report 54),FAKE
Scientists develop biodegradable alternative to traditional plastic (report 55),REAL
New smartphone app claims to let users read minds (report 56),FAKE
Time traveler from 2080 reportedly appears in downtown Tokyo (report 57),FAKE
International Space Station crew completes emergency repair (report 58),REAL
New study links air pollution to increased heart disease risks (report 59),REAL
WHO approves new malaria vaccine for global distribution (report 60),REAL
Study shows humans can survive without sleep for 40 days (report 61),FAKE
New study links air pollution to increased heart disease risks (report 62),REAL
UN releases new report on global climate migration trends (report 63),REAL
Scientists develop biodegradable alternative to traditional plastic (report 64),REAL
"Major earthquake strikes coastal region, causing widespread damage (report 65)",REAL
Scientists confirm existence of invisible flying reptiles in the Himalayas (report 66),FAKE
Scientists confirm existence of invisible flying reptiles in the Himalayas (report 67),FAKE
Global oil prices rise after unexpected supply disruption (report 68),REAL
World’s largest offshore wind farm begins full operation (report 69),REAL
Global oil prices rise after unexpected supply disruption (report 70),REAL
"Major earthquake strikes coastal region, causing widespread damage (report 71)",REAL
Scientists confirm existence of invisible flying reptiles in the Himalayas (report 72),FAKE
Global oil prices rise after unexpected supply disruption (report 73),REAL
Robots gain legal rights in several countries after secret summit (report 74),FAKE
UN releases new report on global climate migration trends (report 75),REAL
International Space Station crew completes emergency repair (report 76),REAL
World’s largest offshore wind farm begins full operation (report 77),REAL
Researchers say they have found a portal to a parallel universe (report 78),FAKE
World leaders agree to build giant shield around Earth to stop solar flares (report 79),FAKE
City government plans to replace all streetlights with glow-in-the-dark plants (report 80),FAKE
New smartphone app claims to let users read minds (report 81),FAKE
Robots gain legal rights in several countries after secret summit (report 82),FAKE
UN releases new report on global climate migration trends (report 83),REAL
World’s largest offshore wind farm begins full operation (report 84),REAL
Global oil prices rise after unexpected supply disruption (report 85),REAL
New smartphone app claims to let users read minds (report 86),FAKE
Scientists confirm existence of invisible flying reptiles in the Himalayas (report 87),FAKE
Archaeologists uncover ancient temple in South America (report 88),REAL
City government plans to replace all streetlights with glow-in-the-dark plants (report 89),FAKE
International Space Station crew completes emergency repair (report 90),REAL
WHO approves new malaria vaccine for global distribution (report 91),REAL
Ocean turns purple overnight due to mysterious phenomenon (report 92),FAKE
International Space Station crew completes emergency repair (report 93),REAL
Archaeologists uncover ancient temple in South America (report 94),REAL
NASA announces discovery of water ice beneath lunar surface (report 95),REAL
Ocean turns purple overnight due to mysterious phenomenon (report 96),FAKE
"Major earthquake strikes coastal region, causing widespread damage (report 97)",REAL
"Major earthquake strikes coastal region, causing widespread damage (report 98)",REAL
UN releases new report on global climate migration trends (report 99),REAL
Company announces pill that instantly teaches any language (report 100),FAKE
