Wiadomość,Status
Nowe badania potwierdzają korzyści z regularnego spacerowania,REAL
Władze miasta ogłosiły budowę największego w Europie parku miejskiego,REAL
Naukowcy opracowali biodegradowalny plastik o zerowym śladzie węglowym,REAL
Polski zespół zdobył nagrodę za najlepszą innowację technologiczną roku,REAL
Nowa linia kolejowa skróci czas podróży między miastami o połowę,REAL
"Astronomowie odkryli nową, wcześniej niezauważoną gwiazdę w sąsiedniej galaktyce",REAL
Wprowadzono program wspierający małe firmy w transformacji cyfrowej,REAL
Biblioteki publiczne odnotowały rekordowe zainteresowanie czytelników,REAL
W oceanie zaobserwowano niespotykane wcześniej zjawisko bioluminescencji,REAL
Międzynarodowy festiwal filmowy zapowiedział nową kategorię dla młodych twórców,REAL
"Naukowcy ogłosili, że udało im się stworzyć pierwszy w pełni działający teleport",FAKE
Nowy gatunek gigantycznych kotów został odkryty w centrum Warszawy,FAKE
Rząd planuje wprowadzenie obowiązkowych drzemek w pracy dla wszystkich obywateli,FAKE
Miasto uruchomi specjalne roboty do sprzątania dachów budynków zimą,FAKE
"Specjaliści twierdzą, że znaleziono sposób na rozmowę ze zwierzętami",FAKE
Nowe prawo zakazuje korzystania z komputerów w weekendy,FAKE
Archeolodzy odkryli starożytny tablet z działającą baterią,FAKE
Flota latających autobusów ma zostać uruchomiona jeszcze w tym roku,FAKE
Uczniowie szkół podstawowych otrzymają obowiązkowe lekcje latania dronami,FAKE
"Ogłoszono, że księżyc będzie świecić dwa razy jaśniej dzięki specjalnym satelitom",FAKE
